Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,Index of institutional trust,Gini coefficient of income
Finland,Western Europe,7.8420000000000005,10.775,0.9540000000000001,72.0,0.9490000000000001,-0.098,0.18600000000000003,10.125,42.8,2.225,8.927,0.55,25.9
Denmark,Western Europe,7.62,10.933,0.9540000000000001,72.7,0.946,0.03,0.179,22.409000000000002,42.3,3.9530000000000003,9.006,0.5720000000000001,27.8
Switzerland,Western Europe,7.571000000000001,11.117,0.9420000000000001,74.4,0.919,0.025,0.292,88.334,43.1,5.584,9.078,0.66,30.1
Iceland,Western Europe,7.553999999999999,10.878,0.983,73.0,0.955,0.16,0.6729999999999999,8.498,37.3,1.649,9.07,0.325,24.1
Netherlands,Western Europe,7.4639999999999995,10.932,0.9420000000000001,72.4,0.9129999999999999,0.175,0.33799999999999997,67.26,43.2,5.574,9.06,0.522,27.0
Norway,Western Europe,7.392,11.052999999999999,0.9540000000000001,73.3,0.96,0.09300000000000001,0.27,8.042,39.7,2.676,8.993,0.606,24.8
Sweden,Western Europe,7.3629999999999995,10.867,0.934,72.7,0.945,0.086,0.237,86.412,41.0,2.59,8.963,0.451,27.0
Luxembourg,Western Europe,7.324,11.647,0.9079999999999999,72.6,0.907,-0.034,0.386,79.07600000000001,39.7,5.974,9.07,0.595,30.9
New Zealand,North America and ANZ,7.277,10.642999999999999,0.948,73.4,0.929,0.134,0.242,0.518,37.9,0.379,9.266,0.527,34.1
Austria,Western Europe,7.268,10.905999999999999,0.934,73.3,0.9079999999999999,0.042,0.48100000000000004,69.084,44.4,4.315,9.023,0.358,26.8
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,3.565,37.9,0.405,9.102,0.335,33.0
Israel,Middle East and North Africa,7.157,10.575,0.9390000000000001,73.503,0.8,0.031,0.753,38.415,30.6,2.25,8.97,0.262,34.4
Germany,Western Europe,7.155,10.873,0.903,72.5,0.875,0.011000000000000001,0.46,40.330999999999996,46.6,4.838,9.017999999999999,0.435,31.1
Canada,North America and ANZ,7.103,10.776,0.9259999999999999,73.8,0.915,0.08900000000000001,0.415,41.418,41.4,2.296,9.267999999999999,0.48200000000000004,35.25
Ireland,Western Europe,7.085,11.342,0.9470000000000001,72.4,0.879,0.077,0.363,45.303999999999995,38.7,3.188,9.1,0.431,30.6
Costa Rica,Latin America and Caribbean,7.069,9.88,0.8909999999999999,71.4,0.934,-0.126,0.809,42.893,33.6,0.8640000000000001,9.549,0.213,48.6
United Kingdom,Western Europe,7.064,10.707,0.934,72.5,0.8590000000000001,0.233,0.45899999999999996,108.45,40.8,5.0089999999999995,9.087,0.268,34.07
